Month,Race/Ethnicity,action_taken,CALLS FOR SERVICE,CHECK POINT,EQUIPMENT VIOLATION,MISSING,OTHER INVESTIGATIVE DETENTION,TERRY STOP,TRAFFIC VIOLATION
2021-09,BLACK,CITATION/SUMMONS,21,0,5,0,0,1,124
2021-09,BLACK,NO ENFORCEMENT ACTION,3,0,0,0,0,5,2
2021-09,BLACK,WARNING ISSUED,0,0,3,0,1,2,101
2021-09,INDIGENOUS,CITATION/SUMMONS,0,0,0,0,0,0,3
2021-09,INDIGENOUS,WARNING ISSUED,0,0,0,0,0,0,2
2021-09,LATINO,ARREST,9,0,1,0,0,1,12
2021-09,LATINO,CITATION/SUMMONS,26,1,6,0,3,0,125
2021-09,LATINO,NO ENFORCEMENT ACTION,1,0,0,0,1,7,1
2021-09,LATINO,WARNING ISSUED,0,0,3,0,0,3,112
2021-09,UNKNOWN,ARREST,0,0,0,0,0,0,1
2021-09,UNKNOWN,CITATION/SUMMONS,4,0,2,0,1,0,36
2021-09,UNKNOWN,NO ENFORCEMENT ACTION,0,0,1,0,0,1,1
2021-09,UNKNOWN,WARNING ISSUED,0,0,0,0,0,1,62
2021-09,WHITE,ARREST,5,0,1,0,0,1,7
2021-09,WHITE,CITATION/SUMMONS,22,0,5,0,3,0,303
2021-09,WHITE,NO ENFORCEMENT ACTION,6,0,0,0,0,8,1
2021-09,WHITE,WARNING ISSUED,2,0,13,0,3,2,233
2021-10,AAPI,ARREST,1,0,0,0,0,0,2
2021-10,AAPI,CITATION/SUMMONS,8,0,1,0,0,0,80
2021-10,AAPI,NO ENFORCEMENT ACTION,0,0,0,0,0,4,1
2021-10,AAPI,WARNING ISSUED,0,0,0,0,1,1,43
2021-10,BLACK,ARREST,0,0,0,0,0,1,4
2021-10,BLACK,CITATION/SUMMONS,9,0,4,0,1,2,165
2021-10,BLACK,NO ENFORCEMENT ACTION,3,0,0,0,0,1,1
2021-10,BLACK,WARNING ISSUED,0,0,3,0,0,0,104
2021-10,INDIGENOUS,CITATION/SUMMONS,0,0,1,0,0,0,5
2021-10,INDIGENOUS,WARNING ISSUED,0,0,0,0,0,0,4
2021-10,LATINO,ARREST,6,0,0,0,0,3,13
2021-10,LATINO,CITATION/SUMMONS,25,0,7,0,7,4,215
2021-10,LATINO,NO ENFORCEMENT ACTION,1,0,0,0,0,5,3
2021-10,LATINO,WARNING ISSUED,1,0,8,0,0,2,71
2021-10,UNKNOWN,ARREST,0,0,0,0,0,1,1
2021-10,UNKNOWN,CITATION/SUMMONS,4,0,2,0,1,0,160
2021-10,UNKNOWN,NO ENFORCEMENT ACTION,0,0,0,0,0,3,1
2021-10,UNKNOWN,WARNING ISSUED,0,0,3,0,1,1,45
2021-10,WHITE,ARREST,4,0,0,0,0,3,8
2021-10,WHITE,CITATION/SUMMONS,30,0,11,0,2,4,423
2021-10,WHITE,NO ENFORCEMENT ACTION,3,0,0,0,0,6,1
2021-10,WHITE,WARNING ISSUED,3,0,7,0,1,2,180
2021-11,AAPI,ARREST,0,0,0,0,0,0,2
2021-11,AAPI,CITATION/SUMMONS,6,0,7,0,1,0,135
2021-11,AAPI,NO ENFORCEMENT ACTION,0,0,0,0,0,1,1
2021-11,AAPI,WARNING ISSUED,0,0,2,0,0,0,58
2021-11,BLACK,ARREST,1,0,0,0,0,0,4
